County,Dist,District,"2016-17 Total
K-12 Aid",Governor's Budget Message (GBM) 2017-2018 Total Aid,2017-18 Approp. Act Revised Total K-12 Aid,"Equalization
Aid","Educational
Adequacy Aid",Choice Aid,"Transportation
Aid","Special
Education Categorical Aid","Security
Aid","Under
Adequacy Aid","Supplemental
Enrollment
Growth Aid","PARCC
Readiness Aid","Per Pupil
Growth Aid","Adjustment
Aid","Professional
Learning
Community
Aid","Host District
Support Aid",2017-18 Approp. Act Revised Total K-12 Aid,"One Year
K-12 Aid
Difference",Aid Percent Difference
BERGEN,4380,RIDGEFIELD PARK TWP,"4,962,421","4,962,421","5,958,857","4,424,392",0,0,"53,329","1,188,469","116,399","114,282",0,"20,580","20,580",0,"20,820",6,"5,958,857","996,436",20.08%
BERGEN,4390,RIDGEWOOD VILLAGE,"2,196,000","2,196,000","2,453,765",0,0,0,"136,964","2,049,826","98,280",0,0,"56,660","56,660",0,"55,375",0,"2,453,765","257,765",11.74%
BERGEN,4405,RIVER DELL REGIONAL,"685,703","685,703","753,864",0,0,0,"38,594","636,183","29,095",0,0,"16,980","16,980",2,"16,030",0,"753,864","68,161",9.94%
BERGEN,4410,RIVER EDGE BORO,"486,938","486,938","752,750","265,812",0,0,"3,005","406,566","19,965","23,482",0,"11,260","11,260",0,"11,400",0,"752,750","265,812",54.59%
BERGEN,4430,RIVER VALE TWP,"479,330","479,330","527,683",0,0,0,"27,212","442,411","21,680",0,0,"12,380","12,380",0,"11,620",0,"527,683","48,353",10.09%
BERGEN,4470,ROCHELLE PARK TWP,"462,515","462,515","478,291",0,0,0,"31,373","378,613","47,531",0,0,"6,430","6,430",0,"6,480","1,434","478,291","15,776",3.41%
BERGEN,4500,ROCKLEIGH,"15,439","15,439","19,730",0,0,0,"14,309","4,291",0,0,0,370,370,0,390,0,"19,730","4,291",27.79%
BERGEN,4600,RUTHERFORD BORO,"2,481,246","2,481,246","2,484,902","815,410",0,0,"40,538","1,509,423","43,921",0,0,"25,055","25,055",0,"25,500",0,"2,484,902","3,656",0.15%
BERGEN,4610,SADDLE BROOK TWP,"1,132,133","1,132,133","1,170,197","17,740",0,0,"59,001","995,741","43,806",0,0,"17,030","17,030",0,"17,430","2,419","1,170,197","38,064",3.36%
BERGEN,4620,SADDLE RIVER BORO,"214,881","214,881","246,130",0,0,0,"72,423","132,546","29,320",0,0,"3,990","3,990",1,"3,860",0,"246,130","31,249",14.54%
BERGEN,4870,SOUTH HACKENSACK TWP,"248,082","248,205","259,447",0,0,0,"14,912","211,923","22,406",0,0,"3,320","3,320",0,"3,320",246,"259,447","11,365",4.58%
BERGEN,5150,TEANECK TWP,"5,356,047","5,356,047","5,446,179",0,0,0,"1,909,231","2,686,168","730,240",0,0,"40,420","40,420",0,"39,700",0,"5,446,179","90,132",1.68%
BERGEN,5160,TENAFLY BORO,"1,443,845","1,443,930","1,603,648",0,0,0,"80,474","1,351,747","63,352",0,0,"36,070","36,070",0,"35,850",85,"1,603,648","159,803",11.07%
BERGEN,5330,UPPER SADDLE RIVER BORO,"546,679","546,679","588,579",0,0,0,"39,526","489,279","22,454",0,0,"12,770","12,770",0,"11,780",0,"588,579","41,900",7.66%
BERGEN,5410,WALDWICK BORO,"872,471","872,471","956,914","90,244",0,0,"42,447","748,580","27,492",0,0,"16,220","16,220",1,"15,710",0,"956,914","84,443",9.68%
BERGEN,5430,WALLINGTON BORO,"3,108,299","3,108,299","3,605,399","2,671,898",0,0,"24,797","743,809","49,973","75,442",0,"12,810","12,810",0,"13,860",0,"3,605,399","497,100",15.99%
BERGEN,5755,WESTWOOD REGIONAL,"1,742,225","1,742,225","1,813,867",0,0,0,"110,956","1,563,802","55,037",0,0,"27,080","27,080","2,322","27,590",0,"1,813,867","71,642",4.11%
BERGEN,5830,WOOD-RIDGE BORO,"795,314","795,314","834,081","79,500",0,0,"36,887","662,355","22,479",0,0,"10,940","10,940",0,"10,980",0,"834,081","38,767",4.87%
BERGEN,5880,WOODCLIFF LAKE BORO,"365,484","365,484","390,191",0,0,0,"18,444","336,041","13,256",0,0,"7,440","7,440",0,"7,570",0,"390,191","24,707",6.76%
BERGEN,5920,WYCKOFF TWP,"905,141","905,141","990,656",0,0,0,"59,410","831,160","37,516",0,0,"21,080","21,080",0,"20,410",0,"990,656","85,515",9.45%
BURLINGTON,200,BASS RIVER TWP,"886,699","886,699","868,965","638,484",0,0,"25,972","67,203","22,124",0,0,"1,150","1,150","111,852","1,030",0,"868,965","-17,734",-2.00%
BURLINGTON,380,BEVERLY CITY,"3,722,302","3,722,302","3,660,781","2,420,975",0,0,"193,173","170,576","87,320",0,0,"3,550","3,550","778,657","2,980",0,"3,660,781","-61,521",-1.65%
BURLINGTON,475,BORDENTOWN REGIONAL,"8,028,133","8,028,133","8,279,997","6,422,773",0,0,"204,608","1,470,071","71,779","33,986",0,"25,530","25,530",0,"25,720",0,"8,279,997","251,864",3.14%
BURLINGTON,600,BURLINGTON CITY,"16,811,067","16,811,067","16,661,574","13,867,857",0,0,"205,655","858,702","443,577",0,0,"13,870","13,870","1,244,633","13,410",0,"16,661,574","-149,493",-0.89%
BURLINGTON,610,BURLINGTON CO VOCATIONAL,"14,598,661","14,598,661","14,599,895","13,228,997",0,0,0,"1,183,421","125,257",0,0,"20,760","20,760",0,"20,700",0,"14,599,895","1,234",0.01%
BURLINGTON,620,BURLINGTON TWP,"18,672,983","18,672,983","19,066,813","15,389,989",0,0,"779,010","2,315,921","428,856","34,377",0,"40,040","40,040",0,"38,580",0,"19,066,813","393,830",2.11%
BURLINGTON,830,CHESTERFIELD TWP,"419,983","419,983","821,188","401,205",0,0,"71,680","136,277","43,728","60,016","85,512","7,380","7,380",0,"8,010",0,"821,188","401,205",95.53%
