YEAR,COUNTY_NAME,DISTRICT_NAME,DIST_CODE,K-12_2014-2015_TOTAL AID,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,PARCC_READINESS_AID,PER_PUPIL_GROWTH_AID,ADJUSTMENT_AID,ADDITIONAL_ADJUSTMENT_AID,TOTAL,ONE _YEAR_AID_CHANGE
2015-2016,MERCER,EWING TWP,1430,"9,596,654","6,862,747",0,0,"230,148","2,208,951","222,407",0,0,"36,200","36,200",0,1,9596654.00,0
2015-2016,MERCER,HAMILTON TWP,1950,"73,604,266","64,508,297",0,0,"720,415","7,549,779","545,728","40,007",0,"120,020","120,020",0,0,73604266.00,0
2015-2016,MERCER,HOPEWELL VALLEY REGIONAL,2280,"2,736,935",0,0,"176,202","349,130","2,087,038","54,445",0,0,"35,060","35,060",0,0,2736935.00,0
2015-2016,MERCER,LAWRENCE TWP,2580,"3,464,314",0,0,0,"612,017","2,353,591","417,886",0,0,"40,410","40,410",0,0,3464314.00,0
2015-2016,MERCER,MERCER CO SPECIAL SERVICE,3103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,MERCER,MERCER COUNTY VOCATIONAL,3105,"2,410,398","2,030,220",0,0,0,"221,405","43,495",0,0,"4,260","4,260","106,758",0,2410398.00,0
2015-2016,MERCER,PRINCETON,4255,"3,429,578",0,0,0,"846,497","2,107,628","299,807",0,0,"34,020","34,020","107,606",0,3429578.00,0
2015-2016,MERCER,TRENTON CITY,5210,"228,081,033","190,547,980",0,0,"2,732,863","8,270,931","5,077,389",0,0,"136,000","136,000","21,179,870",0,228081033.00,0
2015-2016,MERCER,ROBBINSVILLE TWP,5510,"2,437,059","109,932",0,0,"201,800","1,765,433","145,376","154,758",0,"29,880","29,880",0,0,2437059.00,0
2015-2016,MERCER,W WINDSOR-PLAINSBORO REG,5715,"7,466,524","565,938",0,0,"795,567","5,763,900","151,699",0,0,"94,710","94,710",0,0,7466524.00,0
2015-2016,MIDDLESEX,CARTERET BORO,750,"26,844,138","23,509,312",0,0,"120,856","2,257,589","382,501","500,000",0,"36,940","36,940",0,0,26844138.00,0
2015-2016,MIDDLESEX,CRANBURY TWP,970,"466,503",0,0,0,"58,143","380,947","12,113",0,0,"7,650","7,650",0,0,466503.00,0
2015-2016,MIDDLESEX,DUNELLEN BORO,1140,"5,438,712","4,487,536",0,0,"18,828","694,377","55,425","159,306",0,"11,620","11,620",0,0,5438712.00,0
2015-2016,MIDDLESEX,EAST BRUNSWICK TWP,1170,"17,844,870","11,844,263",0,0,"596,256","5,085,994","151,656",0,0,"83,350","83,350",0,1,17844870.00,0
2015-2016,MIDDLESEX,EDISON TWP,1290,"13,781,485","3,675,883",0,0,"829,736","8,667,867","323,459",0,0,"142,270","142,270",0,0,13781485.00,0
2015-2016,MIDDLESEX,HIGHLAND PARK BORO,2150,"3,628,151","2,609,134",0,0,"67,688","883,312","36,277",0,0,"15,870","15,870",0,0,3628151.00,0
2015-2016,MIDDLESEX,JAMESBURG BORO,2370,"5,028,099","4,182,690",0,0,"17,983","546,529","95,682","166,255",0,"9,480","9,480",0,0,5028099.00,0
2015-2016,MIDDLESEX,METUCHEN BORO,3120,"1,051,417",0,0,0,"59,865","914,044","35,358",0,0,"21,075","21,075",0,0,1051417.00,0
2015-2016,MIDDLESEX,MIDDLESEX BORO,3140,"8,831,408","7,367,855",0,0,"83,572","1,270,281","64,291","3,249",0,"21,080","21,080",0,0,8831408.00,0
2015-2016,MIDDLESEX,MIDDLESEX CO REG SER COMM,3145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,MIDDLESEX,MIDDLESEX CO VOCATIONAL,3150,"13,187,412","11,911,557",0,0,0,"1,135,471","100,064",0,0,"20,160","20,160",0,0,13187412.00,0
2015-2016,MIDDLESEX,MILLTOWN BORO,3220,"1,129,475","464,848",0,0,"63,695","564,678","17,104",0,0,"9,575","9,575",0,0,1129475.00,0
2015-2016,MIDDLESEX,MONROE TWP,3290,"2,755,488",0,0,0,"496,510","2,048,517","92,501",0,0,"58,980","58,980",0,0,2755488.00,0
2015-2016,MIDDLESEX,NEW BRUNSWICK CITY,3530,"122,777,268","113,001,439",0,0,"1,087,379","5,027,788","3,457,005","26,657",0,"88,500","88,500",0,0,122777268.00,0
2015-2016,MIDDLESEX,NORTH BRUNSWICK TWP,3620,"11,702,484","6,681,891",0,0,"427,308","3,621,124","516,450","329,331",0,"63,190","63,190",0,0,11702484.00,0
2015-2016,MIDDLESEX,OLD BRIDGE TWP,3845,"44,635,937","36,867,100",0,0,"841,635","5,499,282","817,494",0,0,"86,680","86,680",0,"437,066",44635937.00,0
2015-2016,MIDDLESEX,PERTH AMBOY CITY,4090,"159,990,923","136,227,020","11,689,337",0,"1,724,246","5,893,084","4,257,756",0,0,"99,740","99,740",0,0,159990923.00,0
2015-2016,MIDDLESEX,PISCATAWAY TWP,4130,"15,709,704","9,741,772",0,0,"489,054","4,343,922","584,442","403,614",0,"73,450","73,450",0,0,15709704.00,0
2015-2016,MIDDLESEX,SAYREVILLE BORO,4660,"21,099,588","15,422,173",0,0,"497,507","3,619,830","937,318","500,000",0,"61,380","61,380",0,0,21099588.00,0
2015-2016,MIDDLESEX,SOUTH AMBOY CITY,4830,"6,595,806","5,720,187",0,0,"43,463","678,015","56,004","75,497",0,"11,320","11,320",0,0,6595806.00,0
2015-2016,MIDDLESEX,SOUTH BRUNSWICK TWP,4860,"23,395,241","17,018,097",0,0,"628,937","5,412,797","160,510",0,0,"87,450","87,450",0,0,23395241.00,0
2015-2016,MIDDLESEX,SOUTH PLAINFIELD BORO,4910,"9,132,098","6,660,858",0,0,"100,859","2,204,418","97,143",0,0,"34,410","34,410",0,0,9132098.00,0
2015-2016,MIDDLESEX,SOUTH RIVER BORO,4920,"12,905,120","10,551,002",0,0,"99,861","1,432,582","274,755","500,000",0,"23,460","23,460",0,0,12905120.00,0
2015-2016,MIDDLESEX,SPOTSWOOD,4970,"6,071,713","5,037,971",0,0,"54,800","910,803","31,878","6,761",0,"14,750","14,750",0,0,6071713.00,0
2015-2016,MIDDLESEX,WOODBRIDGE TWP,5850,"23,621,418","14,005,039",0,0,"794,036","7,725,828","760,481","71,504",0,"132,265","132,265",0,0,23621418.00,0
2015-2016,MONMOUTH,ALLENHURST,50,"47,745",0,0,0,"19,708",0,162,0,0,30,30,"27,815",0,47745.00,0
2015-2016,MONMOUTH,ASBURY PARK CITY,100,"55,407,010","28,163,553",0,0,"380,652","1,392,679","1,000,414",0,0,"23,420","23,420","24,422,872",0,55407010.00,0
2015-2016,MONMOUTH,ATLANTIC HIGHLANDS BORO,130,"154,342",0,0,0,"3,468","139,672","5,582",0,0,"2,810","2,810",0,0,154342.00,0
2015-2016,MONMOUTH,AVON BORO,180,"175,564",0,0,0,"19,060","110,961","16,732",0,"24,120","1,590","1,590",0,"1,511",175564.00,0
2015-2016,MONMOUTH,BAYSHORE JOINTURE COMM,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,MONMOUTH,BELMAR BORO,270,"980,970",0,0,0,"122,321","314,554","135,146",0,0,"5,650","5,650","397,649",0,980970.00,0
2015-2016,MONMOUTH,BRADLEY BEACH BORO,500,"1,062,509",0,0,0,"81,650","206,647","92,406",0,0,"3,800","3,800","674,206",0,1062509.00,0
2015-2016,MONMOUTH,BRIELLE BORO,560,"430,068",0,0,0,"35,030","353,099","12,633",0,0,"8,060","8,060",0,"13,186",430068.00,0
2015-2016,MONMOUTH,COLTS NECK TWP,945,"997,628",0,0,0,"171,526","703,608","89,893",0,0,"9,330","9,330",0,"13,941",997628.00,0
2015-2016,MONMOUTH,DEAL BORO,1000,"1,894,973",0,0,"1,772,793","32,118","38,413","5,384","57,916","33,201","2,720","2,720",0,"138,303",2083568.00,"188,595"
2015-2016,MONMOUTH,EATONTOWN BORO,1260,"3,824,839","721,245",0,0,"258,203","645,399","225,767",0,0,"10,570","10,570","1,953,085",0,3824839.00,0
2015-2016,MONMOUTH,FAIR HAVEN BORO,1440,"423,524",0,0,0,"10,271","378,931","14,892",0,0,"9,715","9,715",0,0,423524.00,0
2015-2016,MONMOUTH,FARMINGDALE BORO,1490,"780,516","496,434",0,0,"2,612","82,456","15,561",0,0,"1,440","1,440","180,573",0,780516.00,0
2015-2016,MONMOUTH,FREEHOLD BORO,1640,"9,643,250","8,115,888",0,0,"44,314","821,499","194,487","435,142",0,"15,960","15,960",0,0,9643250.00,0
2015-2016,MONMOUTH,FREEHOLD REGIONAL,1650,"51,453,953","40,713,982",0,0,"1,110,522","7,030,185","735,594",0,0,"113,720","113,720",0,"1,636,230",51453953.00,0
2015-2016,MONMOUTH,FREEHOLD TWP,1660,"4,201,528","1,140,072",0,0,"300,655","2,597,902","84,658",0,0,"39,120","39,120",0,1,4201528.00,0
2015-2016,MONMOUTH,HAZLET TWP,2105,"12,666,951","10,467,565",0,0,"159,264","1,917,881","61,801",0,0,"30,220","30,220",0,0,12666951.00,0
2015-2016,MONMOUTH,HENRY HUDSON REGIONAL,2120,"797,840",0,0,0,"176,780","240,247","60,908",0,0,"3,030","3,030","313,845",0,797840.00,0
2015-2016,MONMOUTH,HIGHLANDS BORO,2160,"638,065",0,0,0,"41,745","91,617","47,943",0,"88,935","1,640","1,640","364,545",0,638065.00,0
2015-2016,MONMOUTH,HOLMDEL TWP,2230,"1,835,746",0,0,0,"275,873","1,365,120","136,063",0,0,"29,345","29,345",0,0,1835746.00,0
2015-2016,MONMOUTH,HOWELL TWP,2290,"33,100,120","27,465,312",0,0,"619,299","3,740,074","517,479",0,0,"61,270","61,270",0,"635,416",33100120.00,0
2015-2016,MONMOUTH,INTERLAKEN,2320,"61,636",0,0,0,"26,064","9,706","1,558","5,877",0,500,500,"17,431",0,61636.00,0
2015-2016,MONMOUTH,KEANSBURG BORO,2400,"27,324,773","16,973,265",0,"9,886","244,350","901,656","535,157",0,0,"14,030","14,030","8,642,285",0,27334659.00,"9,886"
2015-2016,MONMOUTH,KEYPORT BORO,2430,"5,445,573","4,822,886",0,0,"16,402","535,461","54,044",0,0,"8,390","8,390",0,0,5445573.00,0
2015-2016,MONMOUTH,LITTLE SILVER BORO,2720,"311,564",0,0,0,"10,488","272,441","11,775",0,0,"8,430","8,430",0,0,311564.00,0
2015-2016,MONMOUTH,LONG BRANCH CITY,2770,"42,188,021","36,768,086",0,0,"627,703","2,795,051","1,823,590","76,031",0,"48,780","48,780",0,0,42188021.00,0
2015-2016,MONMOUTH,MANALAPAN-ENGLISHTOWN REG,2920,"19,787,590","12,610,419",0,0,"2,122,959","3,077,364","403,710",0,0,"48,185","48,185","1,407,425","69,343",19787590.00,0
2015-2016,MONMOUTH,MANASQUAN BORO,2930,"586,048",0,0,0,"23,093","505,972","17,267",0,0,"9,560","9,560","20,596",0,586048.00,0
2015-2016,MONMOUTH,MARLBORO TWP,3030,"11,603,887","6,247,588",0,0,"437,531","3,375,643","349,448",0,0,"50,140","50,140","532,737","560,660",11603887.00,0
2015-2016,MONMOUTH,MATAWAN-ABERDEEN REGIONAL,3040,"12,180,468","9,282,899",0,0,"198,237","2,266,020","97,858",0,0,"37,880","37,880",0,"259,694",12180468.00,0
2015-2016,MONMOUTH,MIDDLETOWN TWP,3160,"17,704,632","1,001,995",0,0,"2,893,232","6,072,259","837,191",0,0,"96,610","96,610","6,694,364","12,371",17704632.00,0
2015-2016,MONMOUTH,MILLSTONE TWP,3200,"4,783,049","2,349,161",0,0,"634,121","1,263,326","160,905",0,0,"18,105","18,105",0,"339,326",4783049.00,0
2015-2016,MONMOUTH,MONMOUTH BEACH BORO,3250,"152,604",0,0,0,"4,041","136,900","4,377",0,0,"2,650","2,650",0,"1,986",152604.00,0
2015-2016,MONMOUTH,MONMOUTH-OCEAN ED SER COM,3255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,MONMOUTH,MONMOUTH CO VOCATIONAL,3260,"8,098,445","4,003,057",0,0,0,"1,304,032","183,721",0,0,"20,900","20,900","2,565,835",0,8098445.00,0
2015-2016,MONMOUTH,MONMOUTH REGIONAL,3270,"3,356,326","299,370",0,0,"583,284","643,368","108,037",0,0,"9,510","9,510","1,703,247",0,3356326.00,0
2015-2016,MONMOUTH,NEPTUNE CITY,3500,"2,039,028","1,564,270",0,0,"25,030","344,076","28,851","64,701",0,"6,050","6,050",0,0,2039028.00,0
2015-2016,MONMOUTH,NEPTUNE TWP,3510,"32,710,089","25,407,093",0,0,"1,363,716","2,404,326","1,222,886",0,0,"38,650","38,650","2,234,768",0,32710089.00,0
2015-2016,MONMOUTH,OCEAN TWP,3810,"7,692,974",0,0,0,"1,326,538","2,305,733","410,359",0,0,"37,230","37,230","3,426,175","149,709",7692974.00,0
2015-2016,MONMOUTH,OCEANPORT BORO,3830,"439,595",0,0,0,"29,665","350,285","19,085",0,0,"5,860","5,860","26,714","2,126",439595.00,0
2015-2016,MONMOUTH,RED BANK BORO,4360,"2,996,370","1,399,215",0,0,"34,744","665,749","156,711","339,219","373,912","13,410","13,410",0,0,2996370.00,0
2015-2016,MONMOUTH,RED BANK REGIONAL,4365,"1,013,506","89,062",0,0,"233,200","518,148","114,422",0,0,"9,250","9,250","20,284","19,890",1013506.00,0
2015-2016,MONMOUTH,ROOSEVELT BORO,4520,"980,268","470,385",0,"279,860","63,927","68,205","8,957",0,0,"1,360","1,360","86,214",0,980268.00,0
2015-2016,MONMOUTH,RUMSON BORO,4570,"380,733",0,0,0,"31,992","315,384","14,317",0,0,"9,520","9,520",0,0,380733.00,0
2015-2016,MONMOUTH,RUMSON-FAIR HAVEN REG,4580,"437,846",0,0,0,"34,287","372,879","12,840",0,0,"8,920","8,920",0,0,437846.00,0
2015-2016,MONMOUTH,SEA GIRT BORO,4690,"104,828",0,0,0,"3,620","93,806","2,568",0,0,"1,790","1,790",0,"1,254",104828.00,0
2015-2016,MONMOUTH,SHORE REGIONAL,4760,"439,299",0,0,0,"45,382","368,801","9,794",0,0,"6,310","6,310",0,"2,702",439299.00,0
2015-2016,MONMOUTH,SHREWSBURY BORO,4770,"235,397",0,0,0,"4,977","211,500","6,870",0,0,"4,620","4,620",0,"2,810",235397.00,0
2015-2016,MONMOUTH,LAKE COMO,4840,"589,796","168,669",0,0,"68,019","129,283","47,816",0,0,"1,890","1,890","166,400","5,829",589796.00,0
2015-2016,MONMOUTH,SPRING LAKE BORO,4980,"190,254",0,0,0,"14,122","165,889","4,583",0,0,"2,830","2,830",0,0,190254.00,0
2015-2016,MONMOUTH,SPRING LAKE HEIGHTS BORO,4990,"321,679",0,0,0,"22,033","281,977","8,129",0,0,"4,770","4,770",0,0,321679.00,0
2015-2016,MONMOUTH,TINTON FALLS,5185,"3,557,843",0,0,0,"854,382","901,932","149,585",0,0,"14,305","14,305","1,596,766","26,568",3557843.00,0
2015-2016,MONMOUTH,UNION BEACH,5230,"8,348,950","7,444,810",0,0,"39,173","658,640","28,312",0,0,"8,820","8,820","73,023","87,352",8348950.00,0
2015-2016,MONMOUTH,UPPER FREEHOLD REGIONAL,5310,"5,578,418","2,954,308",0,"1,151,850","383,459","976,240","122,431",0,0,"17,005","17,005",0,0,5622298.00,"43,880"
2015-2016,MONMOUTH,WALL TWP,5420,"3,565,926",0,0,0,"733,177","2,404,489","342,358",0,0,"35,095","35,095",0,"15,712",3565926.00,0
2015-2016,MONMOUTH,WEST LONG BRANCH BORO,5640,"276,595",0,0,0,"14,171","240,707","10,616",0,0,"5,550","5,550",0,1,276595.00,0
2015-2016,MORRIS,BOONTON TOWN,450,"1,144,087","434,008",0,"44,208","11,589","587,566","46,136",0,0,"10,290","10,290",0,"14,736",1158823.00,"14,736"
2015-2016,MORRIS,BOONTON TWP,460,"464,923",0,0,0,"54,864","384,201","11,478",0,0,"7,190","7,190",0,0,464923.00,0
2015-2016,MORRIS,BUTLER BORO,630,"1,966,286","1,269,909",0,"26,218","45,248","557,857","19,573",0,0,"9,390","9,390",0,"41,810",1979395.00,"13,109"
2015-2016,MORRIS,SCH DIST OF THE CHATHAMS,785,"1,953,141",0,0,0,"151,760","1,657,762","62,418",0,0,"40,600","40,600",0,1,1953141.00,0
2015-2016,MORRIS,CHESTER TWP,820,"1,040,352",0,0,0,"105,537","839,955","61,450",0,0,"11,430","11,430",0,"10,550",1040352.00,0
2015-2016,MORRIS,DENVILLE TWP,1090,"1,195,062",0,0,0,"108,847","1,026,841","25,734",0,0,"16,820","16,820",0,0,1195062.00,0
2015-2016,MORRIS,DOVER TOWN,1110,"24,486,599","21,801,720",0,0,"61,795","1,704,935","322,997","536,632",0,"29,260","29,260",0,0,24486599.00,0
2015-2016,MORRIS,EAST HANOVER TWP,1190,"666,502",0,0,0,"60,665","571,367","15,362",0,0,"9,370","9,370",0,368,666502.00,0
2015-2016,MORRIS,FLORHAM PARK BORO,1530,"485,924",0,0,0,"39,684","411,749","14,991",0,0,"9,750","9,750",0,0,485924.00,0
2015-2016,MORRIS,HANOVER PARK REGIONAL,1990,"818,668",0,0,0,"170,906","590,031","25,031",0,0,"16,350","16,350",0,0,818668.00,0
2015-2016,MORRIS,HANOVER TWP,2000,"864,426",0,0,0,"58,257","753,986","22,423",0,0,"14,880","14,880",0,0,864426.00,0
2015-2016,MORRIS,HARDING TOWNSHIP,2010,"233,677",0,0,0,"174,090","18,069","32,978",0,0,"4,270","4,270",0,0,233677.00,0
2015-2016,MORRIS,JEFFERSON TWP,2380,"15,821,385","12,431,553",0,0,"418,875","2,137,733","303,337",0,0,"31,800","31,800",0,"466,287",15821385.00,0
2015-2016,MORRIS,KINNELON BORO,2460,"1,479,898",0,0,0,"193,798","1,080,571","165,159",0,0,"20,185","20,185",0,0,1479898.00,0
2015-2016,MORRIS,LINCOLN PARK BORO,2650,"1,606,710",0,0,0,"640,100","702,643","105,026",0,0,"12,400","12,400","134,141",0,1606710.00,0
2015-2016,MORRIS,MADISON BORO,2870,"987,744",0,0,0,"52,188","849,970","37,986",0,0,"23,800","23,800",0,0,987744.00,0
2015-2016,MORRIS,MENDHAM BORO,3090,"249,335",0,0,0,"15,804","204,125","9,989",0,0,"5,980","5,980",0,"7,457",249335.00,0
2015-2016,MORRIS,MENDHAM TWP,3100,"430,042",0,0,0,"69,600","333,875","12,627",0,0,"6,970","6,970",0,0,430042.00,0
2015-2016,MORRIS,MINE HILL TWP,3240,"2,765,435","1,207,054",0,"1,056,060","45,265","345,041","40,270",0,0,"5,480","5,480",0,"60,785",2765435.00,0
2015-2016,MORRIS,MONTVILLE TWP,3340,"1,834,143",0,0,0,"223,430","1,469,587","62,566",0,0,"39,280","39,280",0,0,1834143.00,0
2015-2016,MORRIS,EDUC SERV COMM MORRIS CO,3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,MORRIS,MORRIS COUNTY VOCATIONAL,3365,"1,212,619","76,082",0,0,0,"490,726","64,206",0,0,"8,910","8,910","561,578","2,207",1212619.00,0
2015-2016,MORRIS,MORRIS HILLS REGIONAL,3370,"7,360,053","3,682,325",0,"1,765,632","278,987","1,787,677","49,538",0,0,"28,990","28,990",0,0,7622139.00,"262,086"
2015-2016,MORRIS,MORRIS PLAINS BORO,3380,"766,220",0,0,"189,252","41,947","504,750","13,211",0,0,"8,530","8,530",0,0,766220.00,0
2015-2016,MORRIS,MORRIS SCHOOL DISTRICT,3385,"6,461,576",0,0,"542,268","1,584,914","2,923,993","741,886",0,0,"49,610","49,610","252,972","316,323",6461576.00,0
2015-2016,MORRIS,MOUNT ARLINGTON BORO,3410,"537,002",0,0,0,"137,936","338,797","50,935",0,0,"4,625","4,625",0,84,537002.00,0
2015-2016,MORRIS,MOUNT OLIVE TWP,3450,"15,182,004","11,587,203",0,0,"483,485","2,928,748","93,288",0,0,"44,640","44,640",0,0,15182004.00,0
2015-2016,MORRIS,MOUNTAIN LAKES BORO,3460,"772,752",0,0,0,"21,995","709,191","18,445",0,0,"11,560","11,560",0,1,772752.00,0
2015-2016,MORRIS,NETCONG BORO,3520,"1,163,053","877,594",0,"119,922",86,"169,291","12,194","10,772",0,"2,950","2,950",0,0,1195759.00,"32,706"
2015-2016,MORRIS,PARSIPPANY-TROY HILLS TWP,3950,"4,619,082","95,367",0,0,"295,061","3,956,158","132,915",0,0,"69,790","69,790",0,1,4619082.00,0
2015-2016,MORRIS,LONG HILL TWP,4000,"640,459",0,0,0,"56,278","542,296","12,108",0,0,"8,150","8,150",0,"13,477",640459.00,0
2015-2016,MORRIS,PEQUANNOCK TWP,4080,"2,115,958","421,118",0,"123,822","39,803","1,404,955","33,937",0,0,"22,260","22,260","1,380","142,729",2212264.00,"96,306"
2015-2016,MORRIS,RANDOLPH TWP,4330,"12,770,108","7,895,104",0,0,"323,179","3,234,926","103,893",0,0,"47,185","47,185",0,"1,118,636",12770108.00,0
2015-2016,MORRIS,RIVERDALE BORO,4440,"248,463",0,0,0,"20,048","209,761","9,794",0,0,"4,430","4,430",0,0,248463.00,0
2015-2016,MORRIS,ROCKAWAY BORO,4480,"508,135","72,680",0,0,"6,585","382,108","14,403","20,479",0,"5,940","5,940",0,0,508135.00,0
2015-2016,MORRIS,ROCKAWAY TWP,4490,"2,709,004","883,819",0,0,"136,876","1,517,265","43,651",0,0,"22,585","22,585",0,"82,223",2709004.00,0
2015-2016,MORRIS,ROXBURY TWP,4560,"13,760,460","10,300,890",0,"192,542","233,042","2,433,575","61,433",0,0,"34,275","34,275",0,"470,428",13760460.00,0
2015-2016,MORRIS,WASHINGTON TWP,5520,"8,042,922","5,580,975",0,0,"288,960","1,591,751","176,840",0,0,"22,680","22,680",0,"359,036",8042922.00,0
2015-2016,MORRIS,WEST MORRIS REGIONAL,5660,"4,425,501","324,799",0,0,"1,354,617","1,742,285","214,099",0,0,"28,030","28,030","695,639","38,002",4425501.00,0
2015-2016,MORRIS,WHARTON BORO,5770,"4,019,941","2,826,561",0,"447,982","10,978","467,758","51,744","22,203",0,"7,940","7,940",0,"176,835",4019941.00,0
2015-2016,OCEAN,BARNEGAT TWP,185,"20,040,361","17,838,317",0,0,"185,800","1,848,507","102,344",0,0,"31,640","31,640","2,113",0,20040361.00,0
2015-2016,OCEAN,BAY HEAD BORO,210,"67,332",0,0,0,"3,743","58,303","3,326",0,0,980,980,0,0,67332.00,0
2015-2016,OCEAN,BEACH HAVEN BORO,230,"162,651",0,0,"164,983",481,"31,547","2,513",0,0,600,600,0,0,200724.00,"38,073"
2015-2016,OCEAN,BERKELEY TWP,320,"2,329,872",0,0,0,"786,353","1,132,766","295,958",0,0,"21,150","21,150","72,495",0,2329872.00,0
2015-2016,OCEAN,BRICK TWP,530,"35,938,828","9,463,269",0,0,"4,922,064","5,393,423","1,039,800",0,0,"92,090","92,090","14,934,026","2,066",35938828.00,0
2015-2016,OCEAN,CENTRAL REGIONAL,770,"3,965,211",0,0,"1,284,467","1,067,101","1,080,992","291,637",0,0,"19,050","19,050","142,822","60,092",3965211.00,0
2015-2016,OCEAN,EAGLESWOOD TWP,1150,"664,182","447,437",0,0,"59,476","73,426","18,682",0,0,"1,220","1,220","58,181","4,540",664182.00,0
2015-2016,OCEAN,ISLAND HEIGHTS BORO,2350,"285,708",0,0,"178,010","9,420","63,946","8,673",0,0,960,960,"36,454",0,298423.00,"12,715"
2015-2016,OCEAN,JACKSON TWP,2360,"49,551,136","42,102,240",0,0,"1,013,961","5,211,500","854,977",0,0,"86,430","86,430",0,"195,598",49551136.00,0
2015-2016,OCEAN,LACEY TWP,2480,"21,235,740","17,753,571",0,0,"333,156","2,504,516","483,794",0,0,"44,380","44,380","71,943",0,21235740.00,0
2015-2016,OCEAN,LAKEHURST BORO,2500,"6,046,168","5,421,371",0,0,"116,548","304,592","135,295","29,812",0,"4,910","4,910","28,730",0,6046168.00,0
2015-2016,OCEAN,LAKEWOOD TWP,2520,"24,452,136","15,263,034",0,0,"3,934,658","2,975,869","2,161,835",0,0,"58,370","58,370",0,0,24452136.00,0
2015-2016,OCEAN,LAVALLETTE BORO,2550,"174,442",0,0,0,"59,948","91,536","15,820",0,0,"1,170","1,170","4,798",0,174442.00,0
2015-2016,OCEAN,LITTLE EGG HARBOR TWP,2690,"9,677,667","5,995,899",0,0,"1,038,502","844,602","337,297","6,727",0,"13,560","13,560","1,427,520",0,9677667.00,0
2015-2016,OCEAN,LONG BEACH ISLAND,2760,"710,789",0,0,"507,129","68,851","119,540","23,138",0,0,"2,250","2,250",0,0,723158.00,"12,369"
2015-2016,OCEAN,MANCHESTER TWP,2940,"5,511,130",0,0,0,"1,828,278","1,689,918","405,330",0,0,"28,080","28,080","1,531,444",0,5511130.00,0
2015-2016,OCEAN,OCEAN COUNTY VOCATIONAL,3790,"5,571,665","2,014,757",0,0,0,"708,060","134,823",0,0,"13,780","13,780","2,686,465",0,5571665.00,0
2015-2016,OCEAN,OCEAN GATE BORO,3800,"929,226","825,262",0,0,103,"84,886","9,128",0,0,"1,220","1,220",0,"7,407",929226.00,0
2015-2016,OCEAN,OCEAN TWP,3820,"6,934,480",0,0,0,"325,929","507,177","135,390",0,0,"8,890","8,890","5,948,204",0,6934480.00,0
2015-2016,OCEAN,PINELANDS REGIONAL,4105,"11,338,196","8,420,721",0,"59,358","810,479","961,334","299,661",0,0,"15,930","15,930","784,462",0,11367875.00,"29,679"
2015-2016,OCEAN,PLUMSTED TWP,4190,"11,531,250","10,042,670",0,"221,464","130,266","975,623","125,293",0,0,"14,395","14,395",0,"7,144",11531250.00,0
2015-2016,OCEAN,POINT PLEASANT BORO,4210,"6,039,203","3,924,507",0,0,"85,308","1,663,733","184,043","26,399",0,"28,360","28,360","98,493",0,6039203.00,0
2015-2016,OCEAN,POINT PLEASANT BEACH,4220,"481,465",0,0,0,"10,732","395,137","62,548",0,0,"6,330","6,330",221,167,481465.00,0
2015-2016,OCEAN,SEASIDE HEIGHTS BORO,4710,"1,025,637","202,129",0,"139,930","11,471","109,922","78,161",0,0,"1,950","1,950","410,159","69,965",1025637.00,0
2015-2016,OCEAN,SEASIDE PARK BORO,4720,"156,210",0,0,0,"11,943","22,919","9,974",0,0,320,320,"110,734",0,156210.00,0
2015-2016,OCEAN,SOUTHERN REGIONAL,4950,"1,960,025",0,0,0,"263,093","1,444,854","200,138",0,0,"25,970","25,970",0,0,1960025.00,0
2015-2016,OCEAN,STAFFORD TWP,5020,"9,443,200","7,039,555",0,"291,420","533,435","1,288,981","238,635",0,0,"20,730","20,730",0,"9,714",9443200.00,0
2015-2016,OCEAN,TOMS RIVER REGIONAL,5190,"68,023,721","39,889,745",0,0,"4,586,531","9,141,043","1,820,980","433,801",0,"155,830","155,830","11,839,961",0,68023721.00,0
2015-2016,OCEAN,TUCKERTON BORO,5220,"2,227,496","1,230,549",0,"396,920","8,809","163,676","50,084","10,056","390,411","3,380","3,380",0,0,2257265.00,"29,769"
2015-2016,PASSAIC,BLOOMINGDALE BORO,420,"1,965,255","1,266,890",0,0,"59,772","551,435","13,358",0,0,"8,670","8,670",0,"56,460",1965255.00,0
2015-2016,PASSAIC,CLIFTON CITY,900,"26,259,039","17,684,735",0,0,"485,830","6,592,227","770,787","500,000",0,"112,730","112,730",0,0,26259039.00,0
2015-2016,PASSAIC,HALEDON BORO,1920,"6,806,166","5,946,133",0,0,"8,972","591,508","103,930","135,963",0,"9,830","9,830",0,0,6806166.00,0
2015-2016,PASSAIC,HAWTHORNE BORO,2100,"2,045,132","333,115",0,0,"124,605","1,474,759","66,013",0,0,"23,320","23,320",0,0,2045132.00,0
