YEAR,COUNTY_NAME,DISTRICT_NAME,DIST_CODE,K-12_2014-2015_TOTAL AID,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,PARCC_READINESS_AID,PER_PUPIL_GROWTH_AID,ADJUSTMENT_AID,ADDITIONAL_ADJUSTMENT_AID,TOTAL,ONE _YEAR_AID_CHANGE
2015-2016,BERGEN,RAMAPO-INDIAN HILL REG,4300,"1,251,130",0,0,0,"180,805","988,324","35,141",0,0,"23,430","23,430",0,0,1251130.00,0
2015-2016,BERGEN,RAMSEY BORO,4310,"1,294,016",0,0,0,"73,635","1,124,738","42,203",0,0,"26,720","26,720",0,0,1294016.00,0
2015-2016,BERGEN,RIDGEFIELD BORO,4370,"2,565,748","1,498,795",0,0,"17,753","965,221","42,414","11,745",0,"14,910","14,910",0,0,2565748.00,0
2015-2016,BERGEN,RIDGEFIELD PARK TWP,4380,"4,901,841","3,432,294",0,0,"46,216","1,167,201","100,688","114,282",0,"20,580","20,580",0,0,4901841.00,0
2015-2016,BERGEN,RIDGEWOOD VILLAGE,4390,"2,129,206",0,0,0,"116,741","1,812,959","86,186",0,0,"56,660","56,660",0,0,2129206.00,0
2015-2016,BERGEN,RIVER DELL REGIONAL,4405,"666,153",0,0,0,"33,530","573,018","25,643",0,0,"16,980","16,980",0,2,666153.00,0
2015-2016,BERGEN,RIVER EDGE BORO,4410,"470,634",0,0,0,"2,540","404,603","17,489","23,482",0,"11,260","11,260",0,0,470634.00,0
2015-2016,BERGEN,RIVER VALE TWP,4430,"465,215",0,0,0,"23,548","397,703","19,204",0,0,"12,380","12,380",0,0,465215.00,0
2015-2016,BERGEN,ROCHELLE PARK TWP,4470,"452,567",0,0,0,"27,358","366,046","46,303",0,0,"6,430","6,430",0,0,452567.00,0
2015-2016,BERGEN,ROCKLEIGH,4500,"14,971",0,0,0,"14,231",0,0,0,0,370,370,0,0,14971.00,0
2015-2016,BERGEN,RUTHERFORD BORO,4600,"2,448,920","844,984",0,0,"33,967","1,481,725","38,134",0,0,"25,055","25,055",0,0,2448920.00,0
2015-2016,BERGEN,SADDLE BROOK TWP,4610,"1,107,217","18,383",0,0,"50,831","964,917","39,026",0,0,"17,030","17,030",0,0,1107217.00,0
2015-2016,BERGEN,SADDLE RIVER BORO,4620,"210,006",0,0,0,"66,671","104,971","30,383",0,0,"3,990","3,990",0,1,210006.00,0
2015-2016,BERGEN,SOUTH BERGEN JOINTURE COM,4845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,BERGEN,SOUTH HACKENSACK TWP,4870,"243,554",0,0,0,"13,033","203,132","20,749",0,0,"3,320","3,320",0,0,243554.00,0
2015-2016,BERGEN,TEANECK TWP,5150,"5,266,235",0,0,0,"1,887,212","2,567,656","730,527",0,0,"40,420","40,420",0,0,5266235.00,0
2015-2016,BERGEN,TENAFLY BORO,5160,"1,400,568",0,0,0,"70,484","1,202,460","55,484",0,0,"36,070","36,070",0,0,1400568.00,0
2015-2016,BERGEN,UPPER SADDLE RIVER BORO,5330,"532,142",0,0,0,"35,371","451,270","19,961",0,0,"12,770","12,770",0,0,532142.00,0
2015-2016,BERGEN,WALDWICK BORO,5410,"852,641","6,011",0,0,"37,973","752,149","24,067",0,0,"16,220","16,220",0,1,852641.00,0
2015-2016,BERGEN,WALLINGTON BORO,5430,"3,069,415","2,178,860",0,0,"20,642","727,940","40,911","75,442",0,"12,810","12,810",0,0,3069415.00,0
2015-2016,BERGEN,WESTWOOD REGIONAL,5755,"1,706,684",0,0,0,"98,956","1,503,177","48,069",0,0,"27,080","27,080",0,"2,322",1706684.00,0
2015-2016,BERGEN,WOOD-RIDGE BORO,5830,"778,120","42,210",0,0,"32,013","663,039","18,978",0,0,"10,940","10,940",0,0,778120.00,0
2015-2016,BERGEN,WOODCLIFF LAKE BORO,5880,"356,147",0,0,0,"16,437","313,218","11,612",0,0,"7,440","7,440",0,0,356147.00,0
2015-2016,BERGEN,WYCKOFF TWP,5920,"880,174",0,0,0,"51,450","753,422","33,142",0,0,"21,080","21,080",0,0,880174.00,0
2015-2016,BURLINGTON,BASS RIVER TWP,200,"885,669","638,484",0,0,"25,972","67,203","22,124",0,0,"1,150","1,150","129,586",0,885669.00,0
2015-2016,BURLINGTON,BEVERLY CITY,380,"3,718,301","2,397,552",0,0,"196,255","167,839","86,245",0,0,"3,550","3,550","863,310",0,3718301.00,0
2015-2016,BURLINGTON,BORDENTOWN REGIONAL,475,"7,943,829","6,172,180",0,0,"178,363","1,445,511","62,729","33,986",0,"25,530","25,530",0,0,7943829.00,0
2015-2016,BURLINGTON,BURLINGTON CITY,600,"16,797,657","13,867,857",0,0,"205,655","858,702","443,577",0,0,"13,870","13,870","1,394,126",0,16797657.00,0
2015-2016,BURLINGTON,BURLINGTON CO SPEC SERV,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,BURLINGTON,BURLINGTON CO VOCATIONAL,610,"14,506,026","13,192,613",0,0,0,"1,162,397","109,496",0,0,"20,760","20,760",0,0,14506026.00,0
2015-2016,BURLINGTON,BURLINGTON TWP,620,"18,500,891","14,972,792",0,0,"707,284","2,283,101","423,257","34,377",0,"40,040","40,040",0,0,18500891.00,0
2015-2016,BURLINGTON,CHESTERFIELD TWP,830,"403,538",0,0,0,"69,303","130,925","43,022","60,016","85,512","7,380","7,380",0,0,403538.00,0
2015-2016,BURLINGTON,CINNAMINSON TWP,840,"8,995,720","7,388,894",0,0,"164,548","1,345,009","50,849",0,0,"23,210","23,210",0,0,8995720.00,0
2015-2016,BURLINGTON,DELANCO TWP,1030,"2,485,655","2,114,805",0,0,"24,250","313,392","22,608",0,0,"5,300","5,300",0,0,2485655.00,0
2015-2016,BURLINGTON,DELRAN TWP,1060,"11,535,570","9,568,442",0,0,"112,213","1,707,479","74,011","14,105",0,"29,660","29,660",0,0,11535570.00,0
2015-2016,BURLINGTON,EASTAMPTON TWP,1250,"4,641,777","4,148,569",0,0,"16,953","389,996","17,257",0,0,"6,010","6,010","56,982",0,4641777.00,0
2015-2016,BURLINGTON,EDGEWATER PARK TWP,1280,"6,619,235","5,627,373",0,0,"133,655","583,952","248,909","4,746",0,"10,300","10,300",0,0,6619235.00,0
2015-2016,BURLINGTON,EVESHAM TWP,1420,"13,477,181","9,135,441",0,0,"1,295,334","2,610,392","347,614",0,0,"44,200","44,200",0,0,13477181.00,0
2015-2016,BURLINGTON,FLORENCE TWP,1520,"9,577,365","8,343,214",0,0,"89,884","998,852","101,727","7,868",0,"17,910","17,910",0,0,9577365.00,0
2015-2016,BURLINGTON,HAINESPORT TWP,1910,"1,391,141","689,609",0,0,"149,208","381,603","57,433","4,376",0,"6,455","6,455","96,002",0,1391141.00,0
2015-2016,BURLINGTON,LENAPE REGIONAL,2610,"28,618,926","22,738,228",0,0,"785,083","4,238,655","448,023",0,0,"70,220","70,220",0,"268,497",28618926.00,0
2015-2016,BURLINGTON,LUMBERTON TWP,2850,"8,195,007","6,879,838",0,0,"208,437","903,723","141,349",0,0,"14,840","14,840","31,980",0,8195007.00,0
2015-2016,BURLINGTON,MANSFIELD TWP,2960,"606,769","61,810",0,0,"96,284","384,623","50,390",0,0,"6,830","6,830",0,2,606769.00,0
2015-2016,BURLINGTON,MAPLE SHADE TWP,3010,"8,565,484","7,118,742",0,0,"69,068","1,199,589","106,471","27,454",0,"22,080","22,080",0,0,8565484.00,0
