COUNTY,DISTRICT_NAME,DIST_CODE,K-12_2012-2013_TOTAL_AID,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,ADJUSTMENT_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,ADDITIONAL_ADJUSTMENT_AID,K-12_2013-2014_TOTAL_AID,ONE_YEAR_AID_CHANGE,%_AID_CHANGE
SUSSEX,MONTAGUE TWP,3300,"2,690,095","1,906,677",0,0,"398,801","257,132","100,706","26,780",0,0,0,"2,690,096",1,0
SUSSEX,NEWTON TOWN,3590,"5,831,032","5,168,494",0,0,"29,820","584,268","48,449",0,0,0,1,"5,831,032",0,0
SUSSEX,OGDENSBURG BORO,3840,"2,050,412","1,364,286",0,"256,521","17,314","161,211","27,019","471,185",0,0,0,"2,297,536","247,124",12.1
SUSSEX,SANDYSTON-WALPACK TWP,4650,"525,643","468,282",0,0,"9,540","85,823","2,273",0,0,0,0,"565,918","40,275",7.7
SUSSEX,SPARTA TWP,4960,"5,638,752","2,488,733",0,0,"1,105,532","2,030,137","252,688",0,0,0,0,"5,877,090","238,338",4.2
SUSSEX,STANHOPE BORO,5030,"1,439,650","1,167,777",0,0,"34,204","202,273","34,064","66,645",0,0,0,"1,504,963","65,313",4.5
SUSSEX,STILLWATER TWP,5040,"1,746,000","1,032,251",0,0,"151,545","197,226","32,802","384,085",0,0,0,"1,797,909","51,909",3
SUSSEX,SUSSEX-WANTAGE REGIONAL,5100,"7,456,239","5,670,481",0,"26,145","824,394","773,754","152,070","337,885",0,0,0,"7,784,729","328,490",4.4
SUSSEX,SUSSEX COUNTY VOCATIONAL,5110,"4,162,722","2,432,422",0,0,0,"331,506","54,112","1,344,682",0,0,0,"4,162,722",0,0
SUSSEX,VERNON TWP,5360,"24,208,548","14,888,366",0,"194,376","2,202,151","2,093,078","326,271","5,263,253",0,0,0,"24,967,495","758,947",3.1
SUSSEX,WALLKILL VALLEY REGIONAL,5435,"4,337,637","2,932,866",0,"82,160","466,818","415,991","67,110","718,835",0,0,0,"4,683,780","346,143",8
UNION,BERKELEY HEIGHTS TWP,310,"1,123,170",0,0,0,"117,713","969,462","35,996",0,0,0,0,"1,123,171",1,0
UNION,CLARK TWP,850,"1,003,367",0,0,0,"51,623","915,831","35,913",0,"2,264",0,0,"1,005,631","2,264",0.2
UNION,CRANFORD TWP,980,"2,235,685","91,898",0,0,"71,333","2,013,546","58,908",0,0,0,0,"2,235,685",0,0
UNION,ELIZABETH CITY,1320,"355,913,522","308,295,204","28,521,068",0,"2,976,954","13,260,027","9,919,445",0,"500,000",0,0,"363,472,698","7,559,176",2.1
UNION,GARWOOD BORO,1710,"438,027","80,233",0,0,"31,288","311,043","9,695","3,963",0,0,"1,805","438,027",0,0
UNION,HILLSIDE TWP,2190,"21,114,645","19,007,900",0,0,"97,953","1,798,099","210,693",0,"6,164",0,0,"21,120,809","6,164",0
UNION,KENILWORTH BORO,2420,"4,222,257","1,246,171",0,"2,099,135","29,770","808,290","37,446",0,"46,156",0,0,"4,266,968","44,711",1.1
UNION,LINDEN CITY,2660,"21,091,314","16,947,876",0,0,"202,332","3,587,777","353,329",0,0,0,0,"21,091,314",0,0
UNION,MOUNTAINSIDE BORO,3470,"465,204",0,0,0,"65,170","382,540","17,494",0,"5,780",0,0,"470,984","5,780",1.2
UNION,NEW PROVIDENCE BORO,3560,"841,924",0,0,0,"43,738","793,253","34,546",0,0,0,0,"871,537","29,613",3.5
UNION,PLAINFIELD CITY,4160,"118,407,526","100,550,671","11,009,173",0,"1,265,855","4,804,436","3,169,418",0,"423,687",0,0,"121,223,240","2,815,714",2.4
UNION,RAHWAY CITY,4290,"20,362,126","17,507,406",0,0,"181,590","2,230,002","443,128",0,"86,609",0,0,"20,448,735","86,609",0.4
UNION,ROSELLE BORO,4540,"23,563,309","21,663,036",0,0,"50,165","1,658,470","191,639",0,0,0,0,"23,563,310",1,0
UNION,ROSELLE PARK BORO,4550,"10,423,024","9,176,611",0,0,"19,838","1,140,860","85,714",0,0,0,1,"10,423,024",0,0
UNION,SCOTCH PLAINS-FANWOOD REG,4670,"2,751,204",0,0,0,"204,541","2,550,339","86,448",0,0,0,0,"2,841,328","90,124",3.3
UNION,SPRINGFIELD TWP,5000,"1,107,266",0,0,"458,898","68,276","743,150","39,644",0,0,0,0,"1,309,968","202,702",18.3
UNION,SUMMIT CITY,5090,"1,525,733",0,0,0,"29,508","1,420,941","75,284",0,0,0,0,"1,525,733",0,0
UNION,UNION COUNTY VOCATIONAL,5260,"5,633,936","4,643,708",0,0,0,"946,786","43,442",0,0,0,0,"5,633,936",0,0
UNION,UNION TWP,5290,"30,633,507","25,485,236",0,0,"256,269","4,542,770","349,231",0,0,0,1,"30,633,507",0,0
UNION,WESTFIELD TOWN,5730,"2,832,316",0,0,0,"121,554","2,614,018","96,745",0,0,0,0,"2,832,317",1,0
UNION,WINFIELD TWP,5810,"1,618,336","1,310,098",0,"135,330","60,475","97,159","20,166","34,066",0,0,0,"1,657,294","38,958",2.4
WARREN,ALLAMUCHY TWP,30,"531,957",0,0,0,"223,501","287,673","36,981",0,0,0,0,"548,155","16,198",3
WARREN,ALPHA BORO,70,"1,902,578","1,676,814",0,0,"16,483","199,203","10,077",0,0,0,1,"1,902,578",0,0
WARREN,BELVIDERE TOWN,280,"2,826,757","2,549,473",0,0,"1,860","249,632","8,387",0,0,0,"17,405","2,826,757",0,0
WARREN,BLAIRSTOWN TWP,400,"1,907,750","1,333,417",0,0,"70,649","351,956","52,071","115,626",0,0,"39,578","1,963,297","55,547",2.9
WARREN,FRANKLIN TWP,1620,"743,911","557,245",0,0,"19,335","147,307","4,013",0,0,0,"16,011","743,911",0,0
WARREN,FRELINGHUYSEN TWP,1670,"606,062","274,195",0,0,"81,177","103,313","12,976","142,159",0,0,0,"613,820","7,758",1.3
WARREN,GREAT MEADOWS REGIONAL,1785,"5,798,044","4,672,930",0,0,"309,702","763,471","105,232","32,369",0,0,0,"5,883,704","85,660",1.5
WARREN,GREENWICH TWP,1840,"5,758,882","4,770,510",0,"105,729","198,562","699,575","90,234",0,"66,207",0,0,"5,930,817","171,935",3
WARREN,HACKETTSTOWN,1870,"4,924,135","4,244,551",0,0,"16,384","740,338","33,016",0,0,0,0,"5,034,289","110,154",2.2
WARREN,HARMONY TWP,2040,"351,591",0,0,0,"103,351","217,130","31,409",0,0,0,0,"351,890",299,0.1
WARREN,HOPE TWP,2250,"895,181","684,121",0,0,"103,047","155,088","22,505",0,0,0,0,"964,761","69,580",7.8
WARREN,KNOWLTON TWP,2470,"1,380,491","1,083,113",0,0,"114,628","144,464","24,644","1,145",0,0,"12,497","1,380,491",0,0
WARREN,LOPATCONG TWP,2790,"3,349,067","2,598,242",0,"119,768","32,937","695,116","22,771",0,"12,277",0,0,"3,481,111","132,044",3.9
WARREN,MANSFIELD TWP,2970,"3,531,583","2,943,686",0,0,"112,510","391,733","83,654",0,"19,421",0,0,"3,551,004","19,421",0.5
WARREN,NORTH WARREN REGIONAL,3675,"4,876,376","4,073,680",0,0,"129,381","607,635","79,019","66,201",0,0,0,"4,955,916","79,540",1.6
WARREN,OXFORD TWP,3890,"2,484,313","2,066,891",0,"114,864","129,516","218,357","29,557",0,0,0,0,"2,559,185","74,872",3
WARREN,PHILLIPSBURG TOWN,4100,"36,952,354","25,057,290",0,0,"188,706","1,371,130","769,147","9,997,105",0,0,0,"37,383,378","431,024",1.2
WARREN,POHATCONG TWP,4200,"1,767,498","1,431,183",0,0,"36,072","266,183","34,060",0,0,0,0,"1,767,498",0,0
WARREN,WARREN COUNTY VOCATIONAL,5460,"3,080,705","2,768,259",0,0,"50,531","269,146","25,413",0,0,0,0,"3,113,349","32,644",1.1
WARREN,WARREN HILLS REGIONAL,5465,"10,381,211","9,304,549",0,0,"128,360","1,025,435","40,379",0,0,0,0,"10,498,723","117,512",1.1
WARREN,WASHINGTON BORO,5480,"2,748,205","2,428,322",0,0,"10,316","290,035","19,533",0,0,0,0,"2,748,206",1,0
WARREN,WASHINGTON TWP,5530,"2,581,081","1,702,476",0,0,"258,367","329,211","47,406","286,365",0,0,0,"2,623,825","42,744",1.7
WARREN,WHITE TWP,5780,"1,722,456","581,054",0,0,"249,609","313,648","49,562","540,496",0,0,0,"1,734,369","11,913",0.7
