County,Dist,District,"FY19 
K to 12 Aid","Equalization
Aid","Educational
Adequacy Aid","Proj FY20
Choice Aid","Transportation
Aid","Special
Education Aid","Security
Aid","Adjustment
Aid",Vocational Expansion Stabilization Aid,"FY20 
K to 12 Aid","FY19- FY20
K to 12 Aid
Difference",Aid Percent Difference
Bergen,3870,Oradell Boro,"425,212",0,0,0,"29,595","388,913","58,565",0,0,"477,073","51,861",12.20%
Bergen,3910,Palisades Park,"1,995,923","711,969",0,0,"101,852","995,844","212,501","10,133",0,"2,032,299","36,376",1.82%
Bergen,3930,Paramus Boro,"2,598,206",0,0,0,"727,057","2,089,127","69,352",0,0,"2,885,536","287,330",11.06%
Bergen,3940,Park Ridge Boro,"706,495",0,0,0,"99,501","629,762","59,165",0,0,"788,428","81,933",11.60%
Bergen,3960,Pascack Valley Regional,"1,405,843",0,0,0,"363,359","1,165,749","35,828",0,0,"1,564,936","159,093",11.32%
Bergen,4300,Ramapo-Indian Hill Reg,"1,824,745",0,0,0,"698,935","1,280,142","40,228",0,0,"2,019,305","194,560",10.66%
Bergen,4310,Ramsey Boro,"1,600,162",0,0,0,"309,420","1,368,152","96,206",0,0,"1,773,778","173,616",10.85%
Bergen,4370,Ridgefield Boro,"2,601,290","1,530,497",0,0,0,"1,036,775","96,410",0,0,"2,663,682","62,392",2.40%
Bergen,4380,Ridgefield Park Twp,"9,412,261","7,448,968",0,0,"296,758","1,696,661","511,781",0,0,"9,954,168","541,907",5.76%
Bergen,4390,Ridgewood Village,"3,477,429",0,0,0,"620,535","2,810,902","447,742",0,0,"3,879,179","401,750",11.55%
Bergen,4405,River Dell Regional,"990,197",0,0,0,"199,120","779,669","125,221",0,0,"1,104,010","113,813",11.49%
Bergen,4410,River Edge Boro,"1,935,956","1,018,367",0,0,"19,622","1,011,024","91,647",0,0,"2,140,660","204,704",10.57%
Bergen,4430,River Vale Twp,"679,804",0,0,0,"126,476","541,250","86,869",0,0,"754,595","74,791",11.00%
Bergen,4470,Rochelle Park Twp,"529,341",0,0,0,"103,197","421,417","47,531",0,0,"572,145","42,804",8.09%
Bergen,4500,Rockleigh,"35,001",0,0,0,"28,708","8,256","2,002",0,0,"38,966","3,965",11.33%
Bergen,4600,Rutherford Boro,"2,668,027","815,410",0,0,"209,359","1,545,327","133,835",0,0,"2,703,931","35,904",1.35%
Bergen,4610,Saddle Brook Twp,"1,291,434","17,740",0,0,"234,147","1,111,906","43,806",0,0,"1,407,599","116,165",9.00%
Bergen,4620,Saddle River Boro,"364,260",0,0,0,"202,394","161,378","29,320",0,0,"393,092","28,832",7.92%
Bergen,4870,South Hackensack Twp,"296,060","49,678",0,0,"47,149","211,923","36,988",0,0,"345,738","49,678",16.78%
Bergen,5150,Teaneck Twp,"5,989,277",0,0,0,"2,348,999","2,840,278","945,902",0,0,"6,135,179","145,902",2.44%
Bergen,5160,Tenafly Boro,"2,190,766",0,0,0,"353,878","1,821,518","285,644",0,0,"2,461,040","270,274",12.34%
Bergen,5330,Upper Saddle River Boro,"693,797",0,0,0,"150,581","564,539","53,937",0,0,"769,057","75,260",10.85%
Bergen,5410,Waldwick Boro,"1,505,806","196,883",0,0,"199,527","1,090,126","125,909",0,0,"1,612,445","106,639",7.08%
